timestamp,pm2_5,pm10,ozone,no2
2024-06-01 00:00:00,20.3,30.0,52.0,41.0
2024-06-01 01:00:00,18.5,27.4,49.0,36.9
2024-06-01 02:00:00,17.5,26.1,44.0,36.3
2024-06-01 03:00:00,17.5,26.2,39.0,36.8
2024-06-01 04:00:00,18.6,27.8,36.0,37.1
2024-06-01 05:00:00,19.7,29.4,33.0,37.6
2024-06-01 06:00:00,21.2,31.8,32.0,37.8
2024-06-01 07:00:00,12.9,21.5,35.0,27.0
2024-06-01 08:00:00,13.2,21.5,41.0,22.7
2024-06-01 09:00:00,12.3,20.4,49.0,16.6
2024-06-01 10:00:00,12.3,19.8,60.0,11.5
2024-06-01 11:00:00,11.4,18.0,76.0,8.2
2024-06-01 12:00:00,12.5,19.7,95.0,5.9
2024-06-01 13:00:00,13.6,21.5,109.0,4.4
2024-06-01 14:00:00,15.1,24.0,114.0,3.5
2024-06-01 15:00:00,15.4,24.6,113.0,3.4
2024-06-01 16:00:00,15.6,25.1,109.0,4.6
2024-06-01 17:00:00,15.5,25.2,103.0,7.6
2024-06-01 18:00:00,15.8,25.8,94.0,11.9
2024-06-01 19:00:00,18.6,28.7,81.0,13.5
2024-06-01 20:00:00,21.2,32.6,73.0,15.6
2024-06-01 21:00:00,19.4,30.3,62.0,18.4
2024-06-01 22:00:00,14.4,22.2,54.0,19.5
2024-06-01 23:00:00,10.1,15.8,51.0,17.4
2024-06-02 00:00:00,7.6,12.3,51.0,13.6
2024-06-02 01:00:00,7.3,11.9,51.0,10.5
2024-06-02 02:00:00,8.0,13.1,51.0,9.1
2024-06-02 03:00:00,9.1,14.8,51.0,8.4
2024-06-02 04:00:00,10.3,16.4,50.0,8.3
2024-06-02 05:00:00,11.3,17.6,47.0,9.0
2024-06-02 06:00:00,12.4,19.1,42.0,10.1
2024-06-02 07:00:00,9.3,14.3,59.0,6.3
2024-06-02 08:00:00,8.3,12.5,60.0,6.7
2024-06-02 09:00:00,8.6,13.1,62.0,7.2
2024-06-02 10:00:00,10.1,15.3,65.0,7.1
2024-06-02 11:00:00,11.9,18.3,71.0,6.0
2024-06-02 12:00:00,14.0,21.7,79.0,4.3
2024-06-02 13:00:00,14.7,23.1,85.0,3.1
2024-06-02 14:00:00,14.2,22.6,88.0,2.6
2024-06-02 15:00:00,13.2,21.4,90.0,2.5
2024-06-02 16:00:00,13.3,21.9,89.0,3.2
2024-06-02 17:00:00,12.8,21.7,85.0,5.1
2024-06-02 18:00:00,13.4,22.6,79.0,7.7
2024-06-02 19:00:00,17.6,30.5,73.0,8.8
2024-06-02 20:00:00,15.1,25.8,67.0,10.1
2024-06-02 21:00:00,13.4,22.7,58.0,11.7
2024-06-02 22:00:00,12.2,20.1,52.0,12.5
2024-06-02 23:00:00,11.1,17.9,50.0,11.5
2024-06-03 00:00:00,11.1,18.5,51.0,9.6
2024-06-03 01:00:00,10.9,17.3,51.0,7.9
2024-06-03 02:00:00,11.1,17.7,50.0,6.9
2024-06-03 03:00:00,11.2,17.8,50.0,6.2
2024-06-03 04:00:00,11.3,17.9,49.0,5.7
2024-06-03 05:00:00,11.4,18.0,48.0,5.7
2024-06-03 06:00:00,11.4,17.8,47.0,6.0
2024-06-03 07:00:00,11.6,18.0,51.0,5.8
2024-06-03 08:00:00,12.4,19.6,52.0,5.9
2024-06-03 09:00:00,12.5,20.1,55.0,6.0
2024-06-03 10:00:00,12.4,20.0,58.0,5.8
2024-06-03 11:00:00,12.6,20.5,64.0,4.8
2024-06-03 12:00:00,13.0,21.3,70.0,3.5
2024-06-03 13:00:00,12.9,21.5,76.0,2.6
2024-06-03 14:00:00,12.9,21.7,80.0,2.3
2024-06-03 15:00:00,12.8,21.9,82.0,2.4
2024-06-03 16:00:00,12.5,21.5,83.0,2.8
2024-06-03 17:00:00,12.1,21.2,81.0,3.7
2024-06-03 18:00:00,11.6,20.6,76.0,4.9
2024-06-03 19:00:00,9.7,17.3,72.0,6.9
2024-06-03 20:00:00,10.0,17.7,64.0,9.5
2024-06-03 21:00:00,10.7,19.0,53.0,12.9
2024-06-03 22:00:00,10.7,19.1,47.0,14.6
